	english	sinhala	Similarity score	Alignment score
0	Thumbnails	සිඟිති රූ	0.5254032984375954	0.85
5	Mailing list	තැපැල් ලැයිස්තුව	0.5205469718493987	1.0
6	Check spelling	අක්‍ෂර වින්‍යාසය පරික්‍ෂාකරන්න	0.5203511513048603	0.46129
8	Default Image Grid	පෙරනිමි පිංතූරය දැල	0.5197000351323876	1.0
9	Icon has zero width	සංකේතය සතුව ශුන්‍ය පළලක් ඇත	0.5194793874965347	0.525
10	Print Syntax Highlighting	වාග් රීති උද්දීපන මුද්‍රණයකරන්න	0.5185798805567526	0.375
11	Brush Selection	බුරුසු තේරීම	0.5181393565670136	0.456731
12	Cannot allocate colormap structure	වර්‍ණසිතියම් ආකෘතිය යෙදවිය නොහැක	0.5167086266488584	0.574459
15	Completed spell checking	අක්‍ෂර වින්‍යාසය පරීක්‍ෂාව සම්පූර්‍ණයිFrench (France)language	0.5150736538312768	0.345161
16	Enable Syntax Highlighting	වාග් රීති උද්දීපනය සක්‍රීය කරන්න	0.5150186575975897	0.377104
18	XPM file has image width <= 0	XPM ගොනුවේ පිළිඹිබු පළල <= 0	0.5137185993267217	0.764368
23	Unexpected bitdepth for colormap entries	වර්‍ණසිතියම් ඇතුලත් කිරීම් සඳහා බලාපොරොත්තු නොවු bitdepth අඟයක්	0.5099975301960891	0.50362
24	Keyboard Modifiers	යතුරුපුවරු විකරණකාරකය	0.5076646794332191	0.513158
25	Date sent	යවන ලඳ දිනය	0.5072760850889608	0.833333
27	Unread Messages	නොකියවූ පණිවිඩ	0.5066117313399445	0.485417
28	Device Support	උපාංග සහාය	0.5066059424134437	0.493939
29	Display in bottom pane	පහළ පුවරුවේ දර්ශනය කරන්න	0.5052240626572708	0.794783
30	TGA image has invalid dimensions	TAG පිළිඹිබු සතුව සාවද්‍ය මාන ඇත	0.5050232626203995	0.333333
31	Message sent	යැවූ පණිවිඩය	0.5048437354562338	0.5
32	Forwarded messages	ඉදිරියට යැවූ පණිවිඩ	0.5043237222998869	0.8
33	Adding checkerboard	දාම්ලෑල්ල එක් කරමින්	0.5042782990415464	0.563095
34	Manage snippets	උධෘත පාඨ කළමනාකරණය	0.5036757365136164	0.544408
35	Fatal error reading PNG image file	PNG පිළිඹිබු ගොනුව තුළ තීරනාත්මක දෝෂයක් ඇත	0.5034994425312165	0.41196
36	Select folder	බහලුම තෝරන්න	0.5032337464799639	0.480769
37	Removing animation background	සජීවිකරණ පසුබිම ඉවත් කරමින්	0.5029698398271342	0.6
38	Bookmarks	පොත්සලකුණු	0.5025673364871182	1.0
39	PNM file has an image width of 0	PNM ගොනුවෙහි පිළිඹිබු පළල ශුන්‍ය වේ	0.5023734835794322	0.532828
40	Enter password	රහස්පදය ඇතුළත් කරන්න	0.5017101350822486	0.490476
41	Enter password	මුරපදය ඇතුළු කරන්න	0.5017101350822486	0.842105
43	Insufficient memory to load XBM image file	XBM පිළිඹිබු ගොනුව පූරණයට මතකය ප්‍රමාණවත් නැත	0.5016083401430892	0.484075
44	Error saving file %s	%s ගොනුව සුරකීම දෝෂ සහිතයි	0.501492128684102	0.357143
46	RAS image has bogus header data	RAS පිළිඹිබු සතුව ව්‍යාජ ශිර්ෂක දත්ත ඇත	0.5004826980145601	0.78125
47	Insufficient memory to load PNG file	PNG ගොනුව පූරණයට මතකය ප්‍රමාණවත් නැත	0.5004416661450513	0.581081
48	Failed to open TIFF image	TIFF පිළිඹිබුව විවෘත කිරීම අසමත් විය	0.4998382550520709	0.340956
49	Copy the selection	තෝරාගත් කොටස අලවන්න	0.4998033645970281	0.769737
50	Add Files	ගොනු එක් කරන්න	0.49964236811501905	0.366667
51	Insufficient memory to open TIFF file	TIFF ගොනුව විවෘත කිරීමට මතකය ප්‍රමාණවත් නැත	0.4992448190848033	0.835526
52	popup list	උපත්තන ලැයිස්තුව	0.49905529856914654	0.47861
53	Raw PNM image type is invalid	සකස් නොකළ PNM පිළිඹිබු වර්‍ගය සාවද්‍ය වේ	0.4990465008122947	0.396341
54	Install package file	පැකේජ ගොනුවක් ස්ථාපනය කරන්න	0.49891681884764694	0.559524
55	_Display line numbers	පෙළ අංක අක්‍රීය කරන්න (_D)	0.4989010723688269	0.55303
57	Insufficient memory to load PNM file	PNM පිළිඹිබුව පූරණයට මතකය ප්‍රමාණවත් නැත	0.49861423161187907	0.568227
58	Failed to load TIFF image	TIFF පිළිඹිබුව පූරණය අසමත් විය	0.49833974007209997	0.408189
59	Installing file	ගොනුව ස්ථාපනය කරමින්	0.49830032014870085	0.486607
60	Forwarded message	ඉදිරියට යැවූ පණිවිඩය	0.49816272174939513	0.809524
61	_CMYK profile:	_CMYK පැතිකඩ:	0.4976775848096417	0.414286
62	Newsgroups	නව සමූහය	0.497544309735531	0.833333
63	Truncate	ලොප් කිරීම	0.4972201445780229	0.727273
64	Discover Binding	බන්ධනය අනාවරණය කරන්න	0.49673366741626523	0.401961
65	Disconnect	විසන්ධි කරන්න	0.4960748006706126	0.785714
66	Open archive	සංරක්‍ෂණය විවෘත කරන්න	0.496004947432084	0.863636
67	Image Settings	පිළිඹිබු සැකසුම්	0.4955207558814436	0.564706
69	Toolbar is Visible	මෙවලම්තීරුව දෘශ්‍ය වේ	0.4952699947955361	0.630383
70	Close print preview	මුද්‍රණ පූර්‍වදැක්ම වසන්න	0.4949449875448767	0.430769
71	drawing area	චිත්‍රණ පෙදෙස	0.49493478270596825	0.406593
72	Reconnect	නැවත සම්බන්ධවෙන්න	0.4948564906953834	0.861111
