	english	sinhala	Similarity score	Alignment score
862	Mailing list	තැපැල් ලැයිස්තුව	0.5170508316999171	1.0
634	Thumbnails	සිඟිති රූ	0.5132009723518198	0.85
547	Message sent	යැවූ පණිවිඩය	0.5125954864234883	0.5
108	Relaunch	යළි දියත් කරන්න	0.5098395812963382	0.6875
1339	Check spelling	අක්‍ෂර වින්‍යාසය පරික්‍ෂාකරන්න	0.5072500815399215	0.46129
874	Select folder	බහලුම තෝරන්න	0.5058365761807377	0.480769
196	Device Support	උපාංග සහාය	0.5056313542976911	0.493939
979	Add Files	ගොනු එක් කරන්න	0.5042919794974239	0.366667
708	Copy the selection	තෝරාගත් කොටස අලවන්න	0.5027646770719465	0.769737
211	Keyboard Modifiers	යතුරුපුවරු විකරණකාරකය	0.5020672062329298	0.513158
570	Reconnect	නැවත සම්බන්ධවෙන්න	0.5011393794515443	0.861111
632	Enter password	මුරපදය ඇතුළු කරන්න	0.5008793538369676	0.842105
767	Enter password	රහස්පදය ඇතුළත් කරන්න	0.5008793538369676	0.490476
306	Book Shelf	පොත් රාක්කය	0.5005258865686445	0.564394
569	Disconnect	විසන්ධි කරන්න	0.5004231070670617	0.785714
1346	Brush Selection	බුරුසු තේරීම	0.4995274014493853	0.456731
938	Unread Messages	නොකියවූ පණිවිඩ	0.4993310768652883	0.485417
819	popup list	උපත්තන ලැයිස්තුව	0.49781777713986086	0.47861
164	drawing area	චිත්‍රණ පෙදෙස	0.4969412899857256	0.406593
878	%s mailing list	%s තැපැල් ලැයිස්තුව	0.496577955777084	1.0
149	Installing file	ගොනුව ස්ථාපනය කරමින්	0.4965443208557853	0.486607
809	Newsgroups	නව සමූහය	0.49603857551947855	0.833333
400	Discover Binding	බන්ධනය අනාවරණය කරන්න	0.4951356144592656	0.401961
1021	Rename the selection	තේරීමෙ නම වෙනස්කරන්න	0.4947200632082546	0.428571
1392	Scripts	ස්ක්‍රිප්ට්	0.49463872821503274	1.0
240	Copying disc	තැටිය පිටපත් කරමින්	0.4945976025876569	0.85
38	the six of spades	ඉස්කෝප්ප හය	0.49392268575397513	0.319444
122	Install package file	පැකේජ ගොනුවක් ස්ථාපනය කරන්න	0.49358130153668284	0.559524
1374	Color Profile	වර්‍ණ පැතිකඩ	0.4934207010102886	0.445055
881	SSL encryption	SSL සංකේතනය	0.49247275516444095	1.0
880	TLS encryption	TLS සංකේතාන්කනය	0.49231906131560116	1.0
426	_Spelling Suggestions	අක්ෂර වින්‍යාස යෝජනා (_S)	0.49208387351982585	0.769231
1024	Open archive	සංරක්‍ෂණය විවෘත කරන්න	0.49189912205900416	0.863636
894	Authentication	තහවුරු කර ගැනීම	0.4918462712536213	0.6875
1259	File Saving	ගොනුව සුරැකෙමින්	0.49123705842549537	0.384804
684	evolution minicard	ඉවෝලුශන් කුඩා කාඩ්පත	0.49120881137183636	0.477444
1326	Bookmarks	පිටු සළකුණු	0.4911712172397216	0.708333
633	Bookmarks	පොත්සලකුණු	0.4911712172397216	1.0
263	Choose folders	බහාලුම් තෝරන්න	0.4910762924621034	0.533333
609	Comic Books	විහිළු පොත්	0.49049248148784447	1.0
161	color chooser	වර්ණ තෝරණය	0.49047581532780876	0.558442
1362	Checkerboard	දාම්ලෑල්ල	0.4903603092432875	1.0
603	Error on deleting image %s	%s පිළිඹිබුව මැකීමෙදි දෝෂයකි	0.4899134122698604	0.66092
165	file chooser	ගොනු තෝරන්නා	0.4896150873134576	1.0
1061	Truncate	ලොප් කිරීම	0.489505216905658	0.727273
